var,mean,min,max,sd
alk,100.156399592877,5.075,282.5,60.565906227865
color,24.5308357586381,0,160,22.2420990462259
tp,0.0728334952419532,0.00713320783606446,0.834046568627451,0.0930769925707192
secchi,2.90143495935053,0.25,40.875,3.14223130466535
area,2.83688100813953,0.07515793,22.50266653,3.77955902345386
depth,12.3314991627907,1.524,63.3984,9.56685648567766
perim,8.4588211485585,0.00134561000012422,57.4856248,10.0465833023538
tmean,5.00903100775194,2.61666666666667,7.41666666666667,1.20191664134464
tmax,27.1386046511628,22.5,29.3,1.29775071658935
tmin,-18.9195348837209,-23.4,-12.6,1.8949736188931
prec,18.893023255814,12,31,3.79654265672288
alt,376.111627906977,180,593,76.2368211663048
